央视频道,#genre#
CCTV5+,http://39.164.180.36:19901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路152』#http://222.169.85.8:9901/tsfile/live/0116_1.m3u8#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226711/1.m3u8#http://39.164.180.36:19901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0#http://120.76.248.139/live/bfgd/4200000246.m3u8#http://61.138.128.226:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路165』#https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000#http://jycb.f3322.net:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0#http://api2.52tb.xyz/info?id=7&token=20230326xflvzc#http://192.168.0.5:35455/gaoma/cctv5p.m3u8#http://192.168.0.5:35455/itv/6000000001000015875.m3u8?cdn=wasusyt#http://192.168.0.5:35455/itv/1000000005000265016.m3u8?cdn=ystenlive#http://112.123.243.37:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0#http://xmiin.com:35455/bptv/10000100000000050000000003870759.m3u8#http://58.57.40.22:9901/tsfile/live/1005_1.m3u8#http://110.53.52.63:8888/newlive/live/hls/7/live.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://8.138.7.223/tv/dl/douyincdn.php?id=6$LR•IPV4『线路132』#http://39.164.180.36:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路247』#http://39.164.180.36:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0#http://183.196.25.171:808/hls/76/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/50000020da6d4c40a2ca3b1bdc786016.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=8&token=20230326xflvzc#http://192.168.0.5:35455/rptv/G_CCTV-6-AVS-4K264.m3u8?license=gitv#http://192.168.0.5:35455/itv/1000000001000001737.m3u8?cdn=ystenlive#http://192.168.0.5:35455/itv/6000000001000004574.m3u8?cdn=wasusyt#http://192.168.0.5:35455/itv/1000000005000265006.m3u8?cdn=ystenlive#https://www.freetv.top/migu/624878396.m3u8?migutoken=ee6c3d925888b2938ca61a2c94d84986ff15ec0fedd3e1e35bcf4ffada20fbeead007033b33efc350632bb959d9bee9da36bac91ec304513f63032fb12e8f570416fc533ede1c4ef94197eb07c$LR•IPV4『线路237』#https://www.freetv.top/migu/624878396.m3u8?migutoken=f106dfcfc577d00f7608ecfa1821ef5b850d5b0ae6ffd298d5cc766a7cee810ffb2ca762f0418626189b61920434ab05bf1d3c6162b881b7741491f346dec817038b0f5e60acdc289cda4b0066$LR•IPV4『线路238』#https://www.freetv.top/migu/624878396.m3u8?migutoken=280d56b37be81134b0c93f6d98009c732d89773dde0fe57536c5fd22070225a1ea90f8e9a57aba816bc16c695344e9e2579ade462746354c67f0756ba7e2f6d781d626fe43d2b35893ba7a4cdb$LR•IPV4『线路239』#https://www.freetv.top/migu/624878396.m3u8?migutoken=54dddb5c566f353dd0b8e15cc87cb72d1e728394118dba6dc979a2017b3773f1a3fe3e3911285abda886083a7730f7a40557e4442eca5a14dea6bc8c9158aac949ac95a16c61fdc9b7673bc3a5$LR•IPV4『线路240』#https://www.freetv.top/migu/624878396.m3u8?migutoken=cf8aa2ae484a26a284790c996f43ed3d911dfba0ee5662ecc4c55b38098e9337cf10f0ac3894a85627dcfe0492addd1d07ff6e3aa6f467d0a2f30f53c4d0ce2a4686f74d46c050c0e010f46a65$LR•IPV4『线路241』#https://www.freetv.top/migu/624878396.m3u8?migutoken=62041d20d3c5ab1363a336c30747d7b00d6f970a1f7c9ccafcdeb162f4b0699991e7ba314783d67cb75e376a53e97196434000e0b828510251239944c4391f00b3b73d86f2bc177b5d5afca34a$LR•IPV4『线路242』#https://www.freetv.top/migu/624878396.m3u8?migutoken=8e4f91b7950497f8570c74e50003b7fa23f6565c16a6b361ff855d3a969ddf7ea3826b04d20d76b6eeb472f0cb8b86284614a835429165709ec8c3055f8e9a7879e9594a4309b5d50f59f8a535$LR•IPV4『线路243』#https://www.freetv.top/migu/624878396.m3u8?migutoken=680307806d82b89a0fb49996b2ac29f029f4acaa517daa479e0e7b48de1925cbaf5d59d33296ab91d331a8f6d9427efbd62c58c14828357513663ce40c85b2fcfc05583339543a10f4a02d75d0$LR•IPV4『线路244』#http://www.freetv.top/migu/624878396.m3u8?migutoken=3adcad950884d4ecc6c6967edee9c162189a1e09480eb5c29b369864aeedaed43c3f951d7eb6c32d86baac49792aacb3264b8f074e746477064fd7b1f172f00a9d84373825617d4366e8c54f0c$LR•IPV4『线路246』#https://www.freetv.top/migu/624878396.m3u8?migutoken=fad6ba45166658ac148a6a597b94823f91673302510000cce2a906c7a6634ee620570956e2746b8b2cf59ae5370dd0f1ff919edf280e875ab76365c094c9960948ebc38ca05218b8effb809ba5$LR•IPV4『线路321』#https://www.freetv.top/migu/624878396.m3u8?migutoken=38a08d31f79563a15b6c38307b16c1f1fd2715f58a1bff21d307adaa6597fb3ea267812ba6ac28a74fa0648f0a2003c0d93e137f0257353bff9dedc7eff0cc871a38e97a269bf9ab6e14a4171d$LR•IPV4『线路326』#https://www.freetv.top/migu/624878396.m3u8?migutoken=6b67cbdfb1839f227832346707fcbe0f8de95d5df4faa3a63d5243e5f4ca0f52e79f041476a989915ac41a009e4c8f405f58040a4d4ec74bde4c945654300a3c41c00f4d67ef3708cb107ba9e9$LR•IPV4『线路328』#http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8#http://183.11.239.36:808/hls/94/index.m3u8#http://120.76.248.139/live/bfgd/4200000065.m3u8#http://182.150.23.74:808/hls/6/index.m3u8
CCTV7,http://39.164.180.36:19901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路174』#http://8.138.7.223/tv/cctv7.m3u8#http://8.138.7.223/tv/dl/careryun.php?id=10$LR•IPV4『线路147』#http://8.138.7.223/tv/dl/douyincdn.php?id=7$LR•IPV4『线路145』#http://39.164.180.36:19901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0#http://183.196.25.171:808/hls/7/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/500000204daa45af99b5800a528fac21.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=9&token=20230326xflvzc#http://192.168.0.5:35455/gaoma/cctv7.m3u8#http://192.168.0.5:35455/itv/1000000001000024341.m3u8?cdn=ystenlive#http://192.168.0.5:35455/itv/6000000001000009055.m3u8?cdn=wasusyt#http://192.168.0.5:35455/itv/1000000005000265007.m3u8?cdn=ystenlive#http://36.136.38.87:9901/tsfile/live/0007_1.m3u8#http://110.53.52.63:8888/newlive/live/hls/9/live.m3u8#http://183.11.239.36:808/hls/25/index.m3u8#http://120.76.248.139/live/bfgd/4200000127.m3u8#http://112.46.85.60:8009/hls/504/index.m3u8
CCTV8,http://221.2.148.205:8154/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路33』#http://8.138.7.223/tv/dl/careryun.php?id=11$LR•IPV4『线路128』#http://39.164.180.36:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路154』#http://8.138.7.223/tv/dl/douyincdn.php?id=8$LR•IPV4『线路126』#http://39.164.180.36:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0#https://www.freetv.top/migu/624878356.m3u8?migutoken=170b73b07e0cf0d307afea3545da5b9609d7c15461a2f4ac0f43634101df9baf391a446b91e5f84446b6a3b0934bb4730e2f3c4a32a565f904f22c8ff745a094d45dfd49c54f31b0b78156a080$LR•IPV4『线路148』#http://183.196.25.171:808/hls/77/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/500000202d8c4f56ba03e623caa09f1b.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=10&token=20230326xflvzc#http://192.168.0.5:35455/rptv/G_CCTV-8-AVS-4K264.m3u8?license=gitv#http://192.168.0.5:35455/gaoma/cctv8.m3u8#http://192.168.0.5:35455/itv/6000000001000001070.m3u8?cdn=wasusyt#http://192.168.0.5:35455/itv/1000000005000265008.m3u8?cdn=ystenlive#http://[2409:8087:1a01:df::4051]:80/TVOD/88888888/224/3221225795/main.m3u8#http://gmxw.7766.org:808/hls/96/index.m3u8#http://112.101.78.50:9901/tsfile/live/0008_1.m3u8
CCTV8k,http://192.168.0.5:35455/gaoma/cctv8k_36m.m3u8#http://192.168.0.5:35455/gaoma/cctv8k_120m.m3u8
CCTV9,http://8.138.7.223/tv/dl/careryun.php?id=12$LR•IPV4『线路139』#http://39.164.180.36:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路160』#http://39.164.180.36:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&au$LR•IPV4『线路161』#http://8.138.7.223/tv/dl/douyincdn.php?id=9$LR•IPV4『线路137』#http://39.164.180.36:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&au#http://39.164.180.36:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0#http://183.196.25.171:808/hls/9/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/50000020edf54f6c92778d0ccdfcca30.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=11&token=20230326xflvzc#http://192.168.0.5:35455/gaoma/cctv9.m3u8#http://192.168.0.5:35455/itv/1000000001000014583.m3u8?cdn=ystenlive#http://192.168.0.5:35455/itv/6000000001000032162.m3u8?cdn=wasusyt#http://192.168.0.5:35455/itv/1000000005000265009.m3u8?cdn=ystenlive#http://36.136.38.87:9901/tsfile/live/0009_1.m3u8#http://61.138.128.226:19901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路288』
CCTV10,http://39.164.180.36:19901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路173』#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226708/1.m3u8#http://8.138.7.223/tv/dl/careryun.php?id=13$LR•IPV4『线路143』#http://8.138.7.223/tv/dl/douyincdn.php?id=10$LR•IPV4『线路141』#http://39.164.180.36:19901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.160.249:9901/tsfile/live/0010_1.m3u8#http://183.196.25.171:808/hls/10/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/a66832f3323643189c3a0e91f9fad3e3.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=12&token=20230326xflvzc#http://192.168.0.5:35455/gaoma/cctv10.m3u8#http://192.168.0.5:35455/itv/1000000001000023734.m3u8?cdn=ystenlive#http://192.168.0.5:35455/itv/5000000004000012827.m3u8?cdn=bestzb#http://192.168.0.5:35455/itv/1000000005000265010.m3u8?cdn=ystenlive#http://36.136.38.87:9901/tsfile/live/0010_1.m3u8#http://58.57.40.22:9901/tsfile/live/1010_1.m3u8#http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://39.164.180.36:19901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路157』#http://8.138.7.223/tv/dl/careryun.php?id=14$LR•IPV4『线路132』#http://8.138.7.223/tv/dl/douyincdn.php?id=11$LR•IPV4『线路130』#http://39.164.180.36:19901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.160.249:9901/tsfile/live/0011_1.m3u8#http://183.196.25.171:808/hls/11/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/5000002086444f0886ad7032ad8f756b.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=13&token=20230326xflvzc#http://192.168.0.5:35455/gaoma/cctv11.m3u8#http://192.168.0.5:35455/itv/5000000011000031106.m3u8?cdn=bestzb#http://192.168.0.5:35455/itv/1000000005000265011.m3u8?cdn=ystenlive#http://36.136.38.87:9901/tsfile/live/0011_1.m3u8#http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226448/1.m3u8#http://183.11.239.36:808/hls/29/index.m3u8#https://piccpndali.v.myalicdn.com/audio/cctv11_2.m3u8#http://182.150.23.74:808/hls/11/index.m3u8
CCTV12,http://39.164.180.36:19901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路165』#http://8.138.7.223/tv/dl/careryun.php?id=15$LR•IPV4『线路151』#http://39.164.180.36:19901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.160.249:9901/tsfile/live/0012_1.m3u8#http://8.138.7.223/tv/dl/douyincdn.php?id=12$LR•IPV4『线路149』#https://www.freetv.top/migu/673168185.m3u8?migutoken=37acadb43b1d7932b0a1e8a4f2d01a06b42a10c31f3ccb417bae200ac3028f30a8110509f2cd6cd130aee4b21c85693aa49817f3381e4d28e140d8db1a20b6fecea22fec17a70ff1341efe6081$LR•IPV4『线路162』#http://183.196.25.171:808/hls/12/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000#http://cyz32.livehbindex.hbcatv.cn/live/fbe7688bc539461da71ff649e4ba1d75.m3u8?bitrate=2300&pt=5#http://api2.52tb.xyz/info?id=14&token=20230326xflvzc#http://192.168.0.5:35455/gaoma/cctv12.m3u8#http://192.168.0.5:35455/itv/1000000001000032494.m3u8?cdn=ystenlive#http://192.168.0.5:35455/itv/6000000001000022586.m3u8?cdn=wasusyt#http://192.168.0.5:35455/itv/1000000005000265012.m3u8?cdn=ystenlive#http://36.136.38.87:9901/tsfile/live/0012_1.m3u8#http://61.138.128.226:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路272』#http://58.19.43.46:9901/tsfile/live/1031_1.m3u8#http://120.238.94.10:9901/tsfile/live/1030_1.m3u8#http://218.89.240.144:59901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://221.2.148.205:8154/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
